Group,group,Complete payment default,Partial payment default
Overall Inflation effect,Renting Private Place,3.55,4.01
Overall Inflation effect,Sharing rent with Family/Friends,16.71,6.99
Rent default,Renting Private Place,3,3
Rent default,Sharing rent with Family/Friends,5,2
Bill default,Renting Private Place,3.06,2.52
Bill default,Sharing rent with Family/Friends,6.46,5.84
Credit default,Renting Private Place,2.84,2.52
Credit default,Sharing rent with Family/Friends,5.65,4.69
